tx,stim,Well,OD_450,OD_540,OD_570,PB_24,FR_24,corrected,loganswer,conc,below,above,Ro_conc,batch,pAldo,pPB,pFR
20,stim,D10,0.848,0.052,0.045,105,16,0.7959999999999999,1.4771619162181102,17.16860992576111,FALSE,FALSE,20,B,1.89364742078639,37.4331550802139,66.20689655172413
50,stim,E10,0.839,0.053,0.045,105,15,0.7859999999999999,1.508100306882052,19.383929315265064,FALSE,FALSE,50,B,2.13799066501478,37.4331550802139,62.068965517241374
100,stim,F10,0.787,0.052,0.045,104,14,0.735,1.662857113959896,33.17631807067601,FALSE,FALSE,100,B,3.65925077320663,37.0766488413547,57.93103448275862
DMSO,stim,A11,0.356,0.046,0.043,287,22,0.31,2.975905015673556,933.1960339417882,FALSE,FALSE,0,B,102.928790997249,102.317290552585,91.03448275862068
5,stim,B11,0.828,0.055,0.048,163,18,0.7729999999999999,1.54798865188246,22.483195120870825,FALSE,FALSE,5,B,2.47983061155061,58.1105169340463,74.48275862068965
10,stim,C11,0.82,0.054,0.047,125,20,0.7659999999999999,1.5693275162191376,24.261838011216774,FALSE,FALSE,10,B,2.67600971611224,44.5632798573975,82.75862068965517
20,stim,D11,0.864,0.052,0.045,104,16,0.8119999999999999,1.427132548760595,13.904024473044577,FALSE,FALSE,20,B,1.53357320107932,37.0766488413547,66.20689655172413
50,stim,E11,0.842,0.052,0.044,103,15,0.7899999999999999,1.4957531670940711,18.480855152795485,FALSE,FALSE,50,B,2.03838422827156,36.7201426024955,62.068965517241374
100,stim,F11,0.794,0.052,0.045,104,15,0.742,1.6418597271531579,31.004708951857943,FALSE,FALSE,100,B,3.4197286438911,37.0766488413547,62.068965517241374
DMSO,stim,A12,0.423,0.047,0.043,253,26,0.376,2.752333215131218,552.5363935295229,FALSE,FALSE,0,B,60.9431468838854,90.1960784313726,107.58620689655172
5,stim,B12,0.801,0.051,0.044,183,22,0.75,1.617781211723041,28.640306027928574,FALSE,FALSE,5,B,3.15894192219615,65.2406417112299,91.03448275862068
10,stim,C12,0.807,0.052,0.045,124,19,0.755,1.6026841456015741,27.223329059360772,FALSE,FALSE,10,B,3.00265351017882,44.2067736185383,78.62068965517241
20,stim,D12,0.833,0.052,0.045,104,16,0.7809999999999999,1.523484017762869,20.545623098617988,FALSE,FALSE,20,B,2.26612208893915,37.0766488413547,66.20689655172413
50,stim,E12,0.789,0.052,0.045,104,16,0.737,1.656864278219995,32.545778706449084,FALSE,FALSE,50,B,3.58970412697635,37.0766488413547,66.20689655172413
100,stim,F12,0.752,0.052,0.046,103,16,0.7,1.767046440574239,45.651063103943955,FALSE,FALSE,100,B,5.0351786357047,36.7201426024955,66.20689655172413
DMSO,stim,A7,0.187,0.044,0.043,430,50,0.14300000000000002,3.288564309072043,1935.6986729249204,FALSE,FALSE,0,C,134.298671632187,99.3836671802773,102.38907849829351
0.1,stim,B7,0.183,0.043,0.042,416,49,0.14,3.3065981550270824,2018.09663638005,FALSE,FALSE,0.1,C,140.015437982241,96.1479198767334,100.34129692832764
0.5,stim,C7,0.186,0.035,0.034,366,56,0.151,3.2421225149439223,1738.6039486616703,FALSE,FALSE,0.5,C,120.624250078614,84.5916795069337,114.67576791808874
1,stim,D7,0.229,0.046,0.044,342,57,0.183,3.0763779485850145,1184.5683760124305,FALSE,FALSE,1,C,82.185291327178,79.0446841294299,116.7235494880546
2.5,stim,E7,0.293,0.043,0.04,349,47,0.25,2.7996458803058655,622.7323053504642,FALSE,FALSE,2.5,C,43.2051344358496,80.6625577812018,96.2457337883959
5,stim,F7,0.56,0.048,0.043,274,41,0.512,2.0656860417209426,108.61770480631364,FALSE,FALSE,5,C,7.53589061937158,63.3281972265023,83.95904436860067
DMSO,stim,A8,0.21,0.044,0.042,397,47,0.16599999999999998,3.160815114980634,1440.4444510332132,FALSE,FALSE,0,C,99.9379598899062,91.7565485362096,96.2457337883959
0.1,stim,B8,0.193,0.043,0.041,422,56,0.15000000000000002,3.2478024125757745,1761.593037373987,FALSE,FALSE,0.1,C,122.219231838577,97.5346687211094,114.67576791808874
0.5,stim,C8,0.193,0.036,0.033,415,62,0.157,3.2087501082215355,1609.438494861327,FALSE,FALSE,0.5,C,111.662757719918,95.9167950693374,126.96245733788395
