Metabolite,KEGG,DM_0_1,DM_0_2,DM_0_3,Ro_0_1,Ro_0_2,Ro_0_3,DM_4_1,DM_4_2,DM_4_3,Ro_4_1,Ro_4_2,Ro_4_3,DM_8_1,DM_8_2,DM_8_3,Ro_8_1,Ro_8_2,Ro_8_3,DM_12_1,DM_12_2,DM_12_3,Ro_12_1,Ro_12_2,Ro_12_3,DM_16_1,DM_16_2,DM_16_3,Ro_16_1,Ro_16_2,Ro_16_3,DM_24_1,DM_24_2,DM_24_3,Ro_24_1,Ro_24_2,Ro_24_3
Indolepyruvate,C00331,16084,15684,27438,15117,30878,26807,15306,19441,27946,19820,32519,28559,33436,18475,22527,11939,21576,24451,27753,28083,19008,11745,31530,21200,33315,33598,33040,29985,37417,32709,33734,35080,41812,60176,50863,31295
kynurenine,C00328,128285,100018,116262,82618,97873,115685,122477,148781,126833,99393,110466,149286,120220,74143,64411,56606,68882,78919,44176,22571,73093,11918,28236,48732,63593,59430,63370,65433,51265,11275,106884,71436,122250,49397,49058,51816
quinolinic acid,C03722,23796,28208,17982,28160,25722,26265,10544,18111,24538,17576,21946,27466,25049,13795,16488,14066,17805,20293,13050,9215,14172,1,2242,7767,27346,10465,29159,18548,18148,14349,18527,14362,28110,16617,10034,27124
Anthranilate,C00108,116559,168422,118531,82397,118298,128730,66971,112057,116651,81781,83791,87110,117865,150809,79911,57618,130877,116393,148628,136550,139316,65221,111572,143136,177423,96603,196866,152444,199849,169605,205575,192441,218497,256996,286570,213725
g-Oxalo-crotonate,C03453,240227,291404,345294,242394,477863,431186,123441,149775,179766,115391,137558,97948,514594,295201,315804,113276,255154,243787,363666,359004,366940,50615,377395,433014,156904,176368,1761752,159809,221759,172179,236850,294549,164936,339940,301817,270739
2-Aminomuconate,C02220,334027,424560,463950,305733,396951,427349,495997,466241,452649,402886,431083,571928,557399,406815,392075,368150,420647,417098,252549,277124,340034,103520,317048,353432,418991,399403,413818,426476,442890,296410,516061,448814,592291,482066,414661,485561
Dopamine,C03758,94195,124074,109165,84990,82134,76231,181892,63121,114920,72632,103680,1,90908,69542,74639,66812,63609,55769,57620,69417,66694,34388,66228,80617,60912,103407,102968,93281,92522,104220,124451,95226,92272,130316,169543,166357
Ectoine,C06231,17748,36919,19315,56257,33048,17642,37672,38062,32119,38551,36479,31150,22270,21131,24652,32974,26974,26953,18032,19867,29953,29812,25041,25993,21631,17801,652555,20264,28344,33494,45258,29735,31837,33514,36130,16140
3D-(3-5/4)-Trihydroxycyclohexane-1-2-dione,C04287,255474,247664,242393,170923,211132,173282,179543,176509,214392,181261,209981,185363,228274,263269,229184,160574,302435,292741,133803,156620,141100,87511,207546,198076,166676,175211,247282,171572,196903,247832,252016,219592,230792,345279,334257,322097
1D-myo-Inositol 1-4-bisphosphate,C01220,225262,334143,377621,338767,316091,399387,462698,571819,707163,690660,853427,1104785,274362,181685,180223,122346,210462,201208,222740,326606,218291,129729,386521,383786,931660,1020873,1383357,666186,705036,693679,995083,743522,783140,679364,1052833,1176644
Glycerol 3-phosphate,C00093,144569,171600,198279,148519,187950,268716,186354,189975,211403,192385,165612,199227,188424,163960,184487,74136,132910,176138,187704,150195,182339,73864,195440,172428,179056,266537,326368,240848,240831,231150,208725,236300,189978,222017,225547,314539
